"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
147,10,1.98943678864869,23.596936,3.40325,5,22.617038,22.428152,22.310653,22.805055,24.547069,NA,NA,NA,NA,NA,NA,4.718132,4.670235,3.797287,2.251926,3.452177,NA,NA,NA,NA,NA,NA
148,10,1.98943678864869,20.499735,18.894407,6,21.088324,19.963627,19.760141,20.102178,20.824281,20.850156,NA,NA,NA,NA,NA,20,20,19.14054,18.67253,19.024622,19.08284,NA,NA,NA,NA,NA
149,10,1.98943678864869,24.637083,5.872477,5,25.134387,23.770683,23.546225,25.961401,26.41312,NA,NA,NA,NA,NA,NA,7.11054,6.206395,5.351319,4.682287,5.223103,NA,NA,NA,NA,NA,NA
150,10,1.98943678864869,20.235478,2.981441,6,20.908568,20.502449,20.202593,19.330474,20.06984,20.871468,NA,NA,NA,NA,NA,3.079597,3.461924,3.661597,3.066166,1.761765,2.894346,NA,NA,NA,NA,NA
151,10,1.98943678864869,16.66784,14.387572,5,17.197487,15.702241,15.569942,15.234968,17.475541,NA,NA,NA,NA,NA,NA,14.897704,15.92072,15.819406,12.818655,13.690078,NA,NA,NA,NA,NA,NA
152,10,1.98943678864869,16.834353,6.481719,5,17.776577,17.269016,16.488702,15.484771,16.614234,NA,NA,NA,NA,NA,NA,7.344771,8.094185,7.806218,6.896995,6.090182,NA,NA,NA,NA,NA,NA
153,10,1.98943678864869,17.481068,15.57619,6,17.933072,16.418398,16.16917,15.702241,17.197487,18.27832,NA,NA,NA,NA,NA,16.998708,16.942863,16.758329,15.92072,14.897704,15.393972,NA,NA,NA,NA,NA
154,10,1.98943678864869,22.30866,7.88882,6,22.86733,21.911616,20.621003,20.61555,21.260989,22.447499,NA,NA,NA,NA,NA,9.252793,9.528541,8.799648,7.066786,6.651807,7.068318,NA,NA,NA,NA,NA
155,10,1.98943678864869,12.986706,13.571857,9,14.398613,13.114084,12.139526,11.730239,12.49466,12.647909,14.680546,14.860476,15.022694,NA,NA,13.227707,14.078175,14.126443,13.760731,12.627823,12.528429,11.92361,12.149058,12.544496,NA,NA
156,10,1.98943678864869,21.859942,15.516501,6,22.974574,20.642675,20.899819,21.469881,22.013484,22.86925,NA,NA,NA,NA,NA,16.521834,15.812359,15.344269,15.223355,15.173172,15.603941,NA,NA,NA,NA,NA
