"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
146,1,0.795774715459477,9.279927,8.975579,6,9.718758,9.506722,8.752916,8.783156,9.473912,9.750063,NA,NA,NA,NA,NA,9.412342,9.568638,9.091129,8.598941,8.240124,8.397694,NA,NA,NA,NA,NA
147,1,0.795774715459477,5.435483,3.151239,5,5.656008,5.321089,4.733489,4.841538,5.642279,NA,NA,NA,NA,NA,NA,3.390086,3.632346,3.237177,2.935822,2.416757,NA,NA,NA,NA,NA,NA
148,1,0.795774715459477,7.728498,14.993586,5,8.09298,7.589748,7.19833,7.367892,8.238437,NA,NA,NA,NA,NA,NA,15.444638,15.605989,15.349026,14.473731,15.022426,NA,NA,NA,NA,NA,NA
149,1,0.795774715459477,9.352091,1.896705,5,9.391749,9.112795,9.271327,10.205491,10.436124,NA,NA,NA,NA,NA,NA,2.322608,2.286878,0.753442,0.17281,0.589782,NA,NA,NA,NA,NA,NA
150,1,0.795774715459477,8.612292,16.66805,6,9.131594,8.573632,7.79948,7.781842,8.639996,9.2306,NA,NA,NA,NA,NA,16.783878,17.383568,16.911944,16.821327,16.084277,16.355844,NA,NA,NA,NA,NA
151,1,0.795774715459477,7.777019,12.545364,7,8.023328,7.306034,7.141683,7.570418,7.913237,8.118581,8.122431,NA,NA,NA,NA,13.301935,12.924729,12.676245,12.014257,11.975795,12.059713,12.064814,NA,NA,NA,NA
152,1,0.795774715459477,9.771804,11.266278,6,10.318554,9.587433,9.347321,9.056846,9.854306,10.370613,NA,NA,NA,NA,NA,11.689048,11.880501,11.787797,11.257186,10.654761,11.328547,NA,NA,NA,NA,NA
153,1,0.795774715459477,7.689317,6.308473,7,7.956403,7.657733,7.48606,7.051366,7.15171,7.610768,8.413383,NA,NA,NA,NA,6.917766,6.996464,6.940097,6.10813,5.907983,5.620999,6.151345,NA,NA,NA,NA
154,1,0.795774715459477,5.752234,8.467492,5,6.025893,5.763155,5.104614,5.511515,6.055961,NA,NA,NA,NA,NA,NA,8.994387,9.048621,8.350046,7.956216,8.04719,NA,NA,NA,NA,NA,NA
155,1,0.795774715459477,5.18368,9.003463,5,5.763155,5.40506,4.718758,4.750063,5.104614,NA,NA,NA,NA,NA,NA,9.048621,9.539636,9.412342,8.397694,8.350046,NA,NA,NA,NA,NA,NA
156,1,0.795774715459477,5.813826,3.67429,6,6.39612,5.575058,5.321089,5.656008,5.827364,6.390609,NA,NA,NA,NA,NA,3.88312,4.558581,3.632346,3.390086,3.408181,3.733296,NA,NA,NA,NA,NA
157,1,0.795774715459477,7.131966,10.489559,6,6.877334,6.772481,6.657946,6.982596,7.356018,7.948117,NA,NA,NA,NA,NA,11.250328,11.241506,11.100322,10.005903,9.905262,10.668452,NA,NA,NA,NA,NA
158,1,0.795774715459477,7.529472,1.16976,6,8.238297,7.87987,7.4799,7.213694,7.746952,8.44991,NA,NA,NA,NA,NA,1.524605,1.838919,1.732592,0.824435,0.552279,1.08398,NA,NA,NA,NA,NA
159,1,0.795774715459477,8.273978,5.423659,7,8.596006,8.413383,7.610768,7.680562,8.354155,8.634836,8.893339,NA,NA,NA,NA,6.107517,6.151345,5.620999,5.121986,4.756313,4.790825,5.227721,NA,NA,NA,NA
160,1,0.795774715459477,6.961497,3.63207,6,7.631643,7.114292,6.39612,6.390609,6.741999,7.291821,NA,NA,NA,NA,NA,3.783409,4.276644,3.88312,3.733296,2.865597,2.977416,NA,NA,NA,NA,NA
161,1,0.795774715459477,9.839405,5.52897,6,10.641334,9.715786,9.405968,10.249254,10.503094,10.731015,NA,NA,NA,NA,NA,5.915812,6.048562,5.27813,4.742588,4.755089,5.118579,NA,NA,NA,NA,NA
162,1,0.795774715459477,6.116729,18.213777,6,6.575922,6.193046,5.392773,5.543766,5.674506,6.271549,NA,NA,NA,NA,NA,18.534905,18.689905,18.651639,17.735572,17.55549,17.661902,NA,NA,NA,NA,NA
163,1,0.795774715459477,7.505093,8.865279,6,7.848773,7.479888,6.857439,7.047363,7.641578,7.912837,NA,NA,NA,NA,NA,9.296944,9.477,8.865132,8.278056,8.172719,8.282248,NA,NA,NA,NA,NA
164,1,0.795774715459477,7.083016,15.976814,5,7.544527,6.564859,6.934856,7.19833,7.589748,NA,NA,NA,NA,NA,NA,16.550395,16.42625,15.40461,15.349026,15.605989,NA,NA,NA,NA,NA,NA
165,1,0.795774715459477,7.955538,17.746086,6,8.719178,8.00596,7.382275,7.287577,7.79948,8.573632,NA,NA,NA,NA,NA,17.810941,18.144159,18.048987,17.590323,16.911944,17.383568,NA,NA,NA,NA,NA
166,1,0.795774715459477,5.905379,7.550976,6,6.589727,6.5871,6.055961,5.511515,5.369766,5.506553,NA,NA,NA,NA,NA,7.607925,7.804588,8.04719,7.956216,7.096873,6.975049,NA,NA,NA,NA,NA
167,1,0.795774715459477,7.134317,1.285591,5,7.4799,6.055702,5.88397,5.636243,7.213694,NA,NA,NA,NA,NA,NA,1.732592,1.894449,1.516176,0.850165,0.824435,NA,NA,NA,NA,NA,NA
168,1,0.795774715459477,8.61941,6.863042,6,8.985789,8.577602,7.956403,8.413383,8.596006,9.146516,NA,NA,NA,NA,NA,7.381954,7.433761,6.917766,6.151345,6.107517,6.430418,NA,NA,NA,NA,NA
169,1,0.795774715459477,5.505515,14.339928,5,5.77429,4.84983,4.955589,5.366154,5.802782,NA,NA,NA,NA,NA,NA,14.573361,14.68155,13.934644,13.550022,13.580688,NA,NA,NA,NA,NA,NA
170,1,0.795774715459477,9.980466,6.512461,7,10.506553,10.369766,10.097675,9.353832,9.715786,10.641334,10.817294,NA,NA,NA,NA,6.975049,7.096873,7.103272,6.391466,6.048562,5.915812,6.253884,NA,NA,NA,NA
171,1,0.795774715459477,7.260396,13.527774,7,8.093817,7.322947,6.751461,6.650322,7.306034,8.023328,8.116726,NA,NA,NA,NA,13.724506,14.263471,14.077407,13.930285,12.924729,13.301935,13.41464,NA,NA,NA,NA
172,1,0.795774715459477,9.649012,16.907849,7,10.518639,9.604261,9.131594,9.2306,10.065758,10.544741,10.555751,NA,NA,NA,NA,16.673506,17.230633,16.783878,16.355844,15.95764,16.317496,16.334654,NA,NA,NA,NA
