"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y","iteration"
104,2,1.39260575205408,16.581826,19.856855,5,16.764118,15.811487,15.851667,16.244823,16.716307,NA,NA,NA,NA,NA,NA,20,20,19.4147,19.233415,19.174257,NA,NA,NA,NA,NA,NA,1
105,2,1.39260575205408,10.514717,12.669865,6,11.112753,11.111696,10.748638,9.884837,10.179214,10.734085,NA,NA,NA,NA,NA,12.278191,12.386026,12.982229,12.353974,11.835229,11.67015,NA,NA,NA,NA,NA,1
106,2,1.39260575205408,16.61091,4.264163,7,17.81812,17.834909,16.94556,15.8539,15.888861,16.310014,16.843902,NA,NA,NA,NA,4.83156,4.877227,4.955968,3.836477,3.706944,3.304213,3.43317,NA,NA,NA,NA,1
107,2,1.39260575205408,17.015909,2.587447,5,17.756451,16.843902,16.310014,16.090086,16.285595,NA,NA,NA,NA,NA,NA,2.746841,3.43317,3.304213,2.331183,1.586275,NA,NA,NA,NA,NA,NA,1
108,2,1.39260575205408,14.531981,9.562361,6,15.484116,15.415251,13.68789,13.9558,14.077629,14.659638,NA,NA,NA,NA,NA,10.164828,10.22096,9.136993,8.395364,8.294661,8.349671,NA,NA,NA,NA,NA,1
109,2,1.39260575205408,14.208282,18.529173,7,13.415356,12.74755,12.678863,13.35546,15.022924,15.103579,15.092331,NA,NA,NA,NA,20,20,19.475809,17.819877,18.250633,18.357457,18.821971,NA,NA,NA,NA,1
110,2,1.39260575205408,9.29063,11.975219,8,9.884837,9.166221,8.86721,8.217043,8.654233,9.010513,9.234838,10.179214,NA,NA,NA,12.353974,13.242379,13.265891,12.033017,11.219693,11.113124,11.176307,11.835229,NA,NA,NA,1
111,2,1.39260575205408,10.552278,19.523414,4,11.822279,9.407708,9.286023,9.692293,NA,NA,NA,NA,NA,NA,NA,20,20,19.078268,18.482241,NA,NA,NA,NA,NA,NA,NA,1
112,2,1.39260575205408,10.294872,14.63585,5,9.682284,9.514786,9.57224,10.232711,10.782239,NA,NA,NA,NA,NA,NA,16.530993,16.438796,16.151147,13.977531,14.786252,NA,NA,NA,NA,NA,NA,1
113,2,1.39260575205408,14.76145,7.134538,7,15.688209,14.659638,14.077629,13.690377,13.735905,14.000525,14.746803,NA,NA,NA,NA,7.869202,8.349671,8.294661,6.792893,6.601783,6.435122,6.331688,NA,NA,NA,NA,1
114,2,1.39260575205408,12.110908,8.629474,7,12.409504,12.216514,11.445576,11.441831,11.580187,12.302165,12.676901,NA,NA,NA,NA,8.842324,8.849894,8.688841,8.678303,8.308185,7.951588,8.248249,NA,NA,NA,NA,1
115,2,1.39260575205408,15.364473,2.96071,5,16.310014,15.888861,14.320344,14.79208,16.090086,NA,NA,NA,NA,NA,NA,3.304213,3.706944,3.017535,2.642852,2.331183,NA,NA,NA,NA,NA,NA,1
116,2,1.39260575205408,13.222384,0.250823,3,13.887652,11.708309,15.10361,NA,NA,NA,NA,NA,NA,NA,NA,0.729139,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
